Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C14, C9",0402,3,1uF,
"C11, C17, C18, C19, C20, C21, C7, C8",0402,8,100nF,
"C12, C13",0402,2,15pF,
C15,0805,1,1uF,
"C16, C22",0402,2,100n,
"D1, D4",LED_WS2812B-2020_PLCC4_2.0x2.0mm,2,WS2812B,
"D2, D3",D_SOD-123F,2,MBR1020VL,
J1,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
J2,PinHeader_2x02_P1.00mm_Vertical_SMD,1,Conn_02x02_Top_Bottom,
J3,microSD_HC_Molex_47219-2001,1,Micro_SD_Card,
P2,USB_C_Plug_Molex_105444,1,USB_C_Plug,
R15,0805,1,DNF,
"R16, R17, R18, R19, R20, R21",0402,6,10k,
"R22, R7",0402,2,27.4,
"R4, R5",0402,2,5.1K,
R6,0805,1,5.1K,
"R8, R9",0402,2,1k,
"SW3, SW4",SW_Push_SPST_NO_Alps_SKRK,2,BOOT_SEL,C318884
U1,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U2,SOT-23-5,1,AP2112K-3.3,
"U3, U5",SOT-666,2,USBLC6-2P6,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
